Instance,Model,Solved
AT,./results/models/AT/2-2/AT-2-2-340-partial.pth,40
AT,./results/models/AT/2-2/AT-2-2-9570-partial.pth,42
AT,./results/models/AT/2-2/AT-2-2-1320-partial.pth,40
AT,./results/models/AT/2-2/AT-2-2-8315-partial.pth,37
AT,./results/models/AT/2-2/AT-2-2-365-partial.pth,40
AT,./results/models/AT/2-2/AT-2-2-5800-partial.pth,37
AT,./results/models/AT/2-2/AT-2-2-10110-partial.pth,37
AT,./results/models/AT/2-2/AT-2-2-155-partial.pth,41
AT,./results/models/AT/2-2/AT-2-2-5710-partial.pth,38
AT,./results/models/AT/2-2/AT-2-2-1940-partial.pth,39
AT,./results/models/AT/2-2/AT-2-2-11385-partial.pth,39
AT,./results/models/AT/2-2/AT-2-2-3830-partial.pth,61
AT,./results/models/AT/2-2/AT-2-2-1935-partial.pth,38
AT,./results/models/AT/2-2/AT-2-2-5490-partial.pth,40
AT,./results/models/AT/2-2/AT-2-2-2600-partial.pth,39
AT,./results/models/AT/2-2/AT-2-2-8445-partial.pth,39
AT,./results/models/AT/2-2/AT-2-2-3930-partial.pth,38
AT,./results/models/AT/2-2/AT-2-2-11195-partial.pth,39
AT,./results/models/AT/2-2/AT-2-2-6380-partial.pth,39
AT,./results/models/AT/2-2/AT-2-2-1295-partial.pth,40
AT,./results/models/AT/2-2/AT-2-2-7125-partial.pth,38
AT,./results/models/AT/2-2/AT-2-2-6770-partial.pth,38
AT,./results/models/AT/2-2/AT-2-2-6055-partial.pth,40
AT,./results/models/AT/2-2/AT-2-2-8180-partial.pth,40
AT,./results/models/AT/2-2/AT-2-2-7030-partial.pth,72
AT,./results/models/AT/2-2/AT-2-2-10080-partial.pth,37
AT,./results/models/AT/2-2/AT-2-2-10005-partial.pth,38
AT,./results/models/AT/2-2/AT-2-2-7785-partial.pth,39
AT,./results/models/AT/2-2/AT-2-2-4585-partial.pth,40
AT,./results/models/AT/2-2/AT-2-2-3690-partial.pth,40
AT,./results/models/AT/2-2/AT-2-2-4155-partial.pth,67
AT,./results/models/AT/2-2/AT-2-2-8270-partial.pth,38
AT,./results/models/AT/2-2/AT-2-2-10100-partial.pth,39
AT,./results/models/AT/2-2/AT-2-2-905-partial.pth,39
AT,./results/models/AT/2-2/AT-2-2-3425-partial.pth,64
AT,./results/models/AT/2-2/AT-2-2-3945-partial.pth,38
AT,./results/models/AT/2-2/AT-2-2-3720-partial.pth,39
AT,./results/models/AT/2-2/AT-2-2-1570-partial.pth,40
AT,./results/models/AT/2-2/AT-2-2-4100-partial.pth,38
AT,./results/models/AT/2-2/AT-2-2-3805-partial.pth,63
AT,./results/models/AT/2-2/AT-2-2-7820-partial.pth,38
AT,./results/models/AT/2-2/AT-2-2-8855-partial.pth,60
AT,./results/models/AT/2-2/AT-2-2-3010-partial.pth,37
AT,./results/models/AT/2-2/AT-2-2-2755-partial.pth,38
AT,./results/models/AT/2-2/AT-2-2-1420-partial.pth,40
AT,./results/models/AT/2-2/AT-2-2-5080-partial.pth,39
AT,./results/models/AT/2-2/AT-2-2-680-partial.pth,40
AT,./results/models/AT/2-2/AT-2-2-3115-partial.pth,38
AT,./results/models/AT/2-2/AT-2-2-3295-partial.pth,41
AT,./results/models/AT/2-2/AT-2-2-9500-partial.pth,39
AT,./results/models/AT/2-2/AT-2-2-9665-partial.pth,37
AT,./results/models/AT/2-2/AT-2-2-4465-partial.pth,37
AT,./results/models/AT/2-2/AT-2-2-10665-partial.pth,37
AT,./results/models/AT/2-2/AT-2-2-6190-partial.pth,41
AT,./results/models/AT/2-2/AT-2-2-11565-partial.pth,51
AT,./results/models/AT/2-2/AT-2-2-2875-partial.pth,40
AT,./results/models/AT/2-2/AT-2-2-7515-partial.pth,37
AT,./results/models/AT/2-2/AT-2-2-590-partial.pth,40
AT,./results/models/AT/2-2/AT-2-2-3375-partial.pth,39
AT,./results/models/AT/2-2/AT-2-2-1305-partial.pth,40
AT,./results/models/AT/2-2/AT-2-2-10745-partial.pth,37
AT,./results/models/AT/2-2/AT-2-2-5790-partial.pth,37
AT,./results/models/AT/2-2/AT-2-2-11260-partial.pth,37
AT,./results/models/AT/2-2/AT-2-2-4435-partial.pth,37
AT,./results/models/AT/2-2/AT-2-2-9975-partial.pth,37
AT,./results/models/AT/2-2/AT-2-2-495-partial.pth,40
AT,./results/models/AT/2-2/AT-2-2-8895-partial.pth,40
AT,./results/models/AT/2-2/AT-2-2-2625-partial.pth,40
AT,./results/models/AT/2-2/AT-2-2-11305-partial.pth,41
AT,./results/models/AT/2-2/AT-2-2-9040-partial.pth,37
AT,./results/models/AT/2-2/AT-2-2-5765-partial.pth,42
AT,./results/models/AT/2-2/AT-2-2-3345-partial.pth,38
AT,./results/models/AT/2-2/AT-2-2-10165-partial.pth,39
AT,./results/models/AT/2-2/AT-2-2-7875-partial.pth,37
AT,./results/models/AT/2-2/AT-2-2-5760-partial.pth,42
AT,./results/models/AT/2-2/AT-2-2-4195-partial.pth,39
AT,./results/models/AT/2-2/AT-2-2-7950-partial.pth,38
AT,./results/models/AT/2-2/AT-2-2-9475-partial.pth,39
AT,./results/models/AT/2-2/AT-2-2-6850-partial.pth,37
AT,./results/models/AT/2-2/AT-2-2-6835-partial.pth,37
AT,./results/models/AT/2-2/AT-2-2-9510-partial.pth,38
AT,./results/models/AT/2-2/AT-2-2-660-partial.pth,40
AT,./results/models/AT/2-2/AT-2-2-9835-partial.pth,66
AT,./results/models/AT/2-2/AT-2-2-3230-partial.pth,39
AT,./results/models/AT/2-2/AT-2-2-11545-partial.pth,44
AT,./results/models/AT/2-2/AT-2-2-2595-partial.pth,41
AT,./results/models/AT/2-2/AT-2-2-8745-partial.pth,44
AT,./results/models/AT/2-2/AT-2-2-4390-partial.pth,39
AT,./results/models/AT/2-2/AT-2-2-7425-partial.pth,60
AT,./results/models/AT/2-2/AT-2-2-7145-partial.pth,37
AT,./results/models/AT/2-2/AT-2-2-260-partial.pth,40
AT,./results/models/AT/2-2/AT-2-2-885-partial.pth,39
AT,./results/models/AT/2-2/AT-2-2-2260-partial.pth,38
AT,./results/models/AT/2-2/AT-2-2-8090-partial.pth,37
AT,./results/models/AT/2-2/AT-2-2-10085-partial.pth,37
AT,./results/models/AT/2-2/AT-2-2-6290-partial.pth,37
AT,./results/models/AT/2-2/AT-2-2-1685-partial.pth,41
AT,./results/models/AT/2-2/AT-2-2-1650-partial.pth,39
AT,./results/models/AT/2-2/AT-2-2-11380-partial.pth,41
AT,./results/models/AT/2-2/AT-2-2-360-partial.pth,39
AT,./results/models/AT/2-2/AT-2-2-940-partial.pth,39
AT,./results/models/AT/2-2/AT-2-2-8320-partial.pth,38
AT,./results/models/AT/2-2/AT-2-2-7070-partial.pth,73
AT,./results/models/AT/2-2/AT-2-2-2610-partial.pth,39
AT,./results/models/AT/2-2/AT-2-2-7255-partial.pth,37
AT,./results/models/AT/2-2/AT-2-2-8100-partial.pth,38
AT,./results/models/AT/2-2/AT-2-2-9905-partial.pth,39
