Instance,N,K,Transitions,Failed
BW,1,15,6,
BW,2,1,14,
BW,2,2,20,
BW,2,3,26,
BW,2,4,32,
BW,2,5,38,
BW,2,6,44,
BW,2,7,50,
BW,2,8,56,
BW,2,9,62,
BW,2,10,68,
BW,2,11,74,
BW,2,12,80,
BW,2,13,86,
BW,2,14,92,
BW,2,15,98,
BW,3,1,30,
BW,3,2,42,
BW,3,3,54,
BW,3,4,66,
BW,3,5,78,
BW,3,6,90,
BW,3,7,102,
BW,3,8,114,
BW,3,9,126,
BW,3,10,138,
BW,3,11,150,
BW,3,12,162,
BW,3,13,174,
BW,3,14,186,
BW,3,15,198,
BW,4,1,62,
BW,4,2,86,
BW,4,3,110,
BW,4,4,134,
BW,4,5,158,
BW,4,6,182,
BW,4,7,206,
BW,4,8,230,
BW,4,9,254,
BW,4,10,278,
BW,4,11,302,
BW,4,12,326,
BW,4,13,350,
BW,4,14,374,
BW,4,15,398,
BW,5,1,126,
BW,5,2,174,
BW,5,3,222,
BW,5,4,270,
BW,5,5,318,
BW,5,6,366,
BW,5,7,414,
BW,5,8,462,
BW,5,9,510,
BW,5,10,558,
BW,5,11,606,
BW,5,12,654,
BW,5,13,702,
BW,5,14,750,
BW,5,15,798,
BW,6,1,254,
BW,6,2,350,
BW,6,3,446,
BW,6,4,542,
BW,6,5,638,
BW,6,6,734,
BW,6,7,830,
BW,6,8,926,
BW,6,9,1022,
BW,6,10,1118,
BW,6,11,1214,
BW,6,12,1310,
BW,6,13,1406,
BW,6,14,1502,
BW,6,15,1598,
BW,7,1,510,
BW,7,2,702,
BW,7,3,894,
BW,7,4,1086,
BW,7,5,1278,
BW,7,6,1470,
BW,7,7,1662,
BW,7,8,1854,
BW,7,9,2046,
BW,7,10,2238,
BW,7,11,2430,
BW,7,12,2622,
BW,7,13,2814,
BW,7,14,3006,
BW,7,15,3198,
BW,8,1,1022,
BW,8,2,1406,
BW,8,3,1790,
BW,8,4,2174,
BW,8,5,2558,
BW,8,6,2942,
BW,8,7,3326,
BW,8,8,3710,
BW,8,9,4094,
BW,8,10,4478,
BW,8,11,4862,
BW,8,12,5246,
BW,8,13,5630,
BW,8,14,6014,
BW,8,15,6398,
BW,9,1,2046,
BW,9,2,2814,
BW,9,3,3582,
BW,9,4,4350,
BW,9,5,5118,
BW,9,6,5886,
BW,9,7,6654,
BW,9,8,7422,
BW,9,9,8190,
BW,9,10,8958,
BW,9,11,9726,
BW,9,12,10000,
BW,9,13,10000,
BW,9,14,10000,
BW,9,15,10000,
BW,10,1,4094,
BW,10,2,5630,
BW,10,3,7166,
BW,10,4,8702,
BW,10,5,10000,
BW,10,6,10000,
BW,10,7,10000,
BW,10,8,10000,
BW,10,9,10000,
BW,10,10,10000,
BW,10,11,10000,
BW,10,12,10000,
BW,10,13,10000,
BW,10,14,10000,
BW,10,15,10000,
BW,11,1,8190,
BW,11,2,10000,
BW,11,3,10000,
BW,11,4,10000,
BW,11,5,10000,
BW,11,6,10000,
BW,11,7,10000,
BW,11,8,10000,
BW,11,9,10000,
BW,11,10,10000,
BW,11,11,10000,
BW,11,12,10000,
BW,11,13,10000,
BW,11,14,10000,
BW,11,15,10000,
BW,12,1,10000,
BW,12,2,10000,
BW,12,3,10000,
BW,12,4,10000,
BW,12,5,10000,
BW,12,6,10000,
BW,12,7,10000,
BW,12,8,10000,
BW,12,9,10000,
BW,12,10,10000,
BW,12,11,10000,
BW,12,12,10000,
BW,12,13,10000,
BW,12,14,10000,
BW,12,15,10000,
BW,13,1,10000,
BW,13,2,10000,
BW,13,3,10000,
BW,13,4,10000,
BW,13,5,10000,
BW,13,6,10000,
BW,13,7,10000,
BW,13,8,10000,
BW,13,9,10000,
BW,13,10,10000,
BW,13,11,10000,
BW,13,12,10000,
BW,13,13,10000,
BW,13,14,10000,
BW,13,15,10000,
BW,14,1,10000,
BW,14,2,10000,
BW,14,3,10000,
BW,14,4,10000,
BW,14,5,10000,
BW,14,6,10000,
BW,14,7,10000,
BW,14,8,10000,
BW,14,9,10000,
BW,14,10,10000,
BW,14,11,10000,
BW,14,12,10000,
BW,14,13,10000,
BW,14,14,10000,
BW,14,15,10000,
BW,15,1,10000,
BW,15,2,10000,
BW,15,3,10000,
BW,15,4,10000,
BW,15,5,10000,
BW,15,6,10000,
BW,15,7,10000,
BW,15,8,10000,
BW,15,9,10000,
BW,15,10,10000,
BW,15,11,10000,
BW,15,12,10000,
BW,15,13,10000,
BW,15,14,10000,
BW,15,15,10000,
DP,1,1,3,
DP,1,2,4,
DP,1,3,5,
DP,1,4,6,
DP,1,5,7,
DP,1,6,8,
DP,1,7,9,
DP,1,8,10,
DP,1,9,11,
DP,1,10,12,
DP,1,11,13,
DP,1,12,14,
DP,1,13,15,
DP,1,14,16,
DP,1,15,17,
DP,2,1,27,
DP,2,2,29,
DP,2,3,31,
DP,2,4,33,
DP,2,5,35,
DP,2,6,37,
DP,2,7,39,
DP,2,8,41,
DP,2,9,43,
DP,2,10,45,
DP,2,11,47,
DP,2,12,49,
DP,2,13,51,
DP,2,14,53,
DP,2,15,55,
DP,3,1,42,
DP,3,2,45,
DP,3,3,48,
DP,3,4,51,
DP,3,5,54,
DP,3,6,57,
DP,3,7,60,
DP,3,8,63,
DP,3,9,66,
DP,3,10,69,
DP,3,11,72,
DP,3,12,75,
DP,3,13,78,
DP,3,14,81,
DP,3,15,84,
DP,4,1,69,
DP,4,2,73,
DP,4,3,77,
DP,4,4,81,
DP,4,5,85,
DP,4,6,89,
DP,4,7,93,
DP,4,8,97,
DP,4,9,101,
DP,4,10,105,
DP,4,11,109,
DP,4,12,113,
DP,4,13,117,
DP,4,14,121,
DP,4,15,125,
DP,5,1,124,
DP,5,2,129,
DP,5,3,134,
DP,5,4,139,
DP,5,5,144,
DP,5,6,149,
DP,5,7,154,
DP,5,8,159,
DP,5,9,164,
DP,5,10,169,
DP,5,11,174,
DP,5,12,179,
DP,5,13,184,
DP,5,14,189,
DP,5,15,194,
DP,6,1,243,
DP,6,2,249,
DP,6,3,255,
DP,6,4,261,
DP,6,5,267,
DP,6,6,273,
DP,6,7,279,
DP,6,8,285,
DP,6,9,291,
DP,6,10,297,
DP,6,11,303,
DP,6,12,309,
DP,6,13,315,
DP,6,14,321,
DP,6,15,327,
DP,7,1,506,
DP,7,2,513,
DP,7,3,520,
DP,7,4,527,
DP,7,5,534,
DP,7,6,541,
DP,7,7,548,
DP,7,8,555,
DP,7,9,562,
DP,7,10,569,
DP,7,11,576,
DP,7,12,583,
DP,7,13,590,
DP,7,14,597,
DP,7,15,604,
DP,8,1,1089,
DP,8,2,1097,
DP,8,3,1105,
DP,8,4,1113,
DP,8,5,1121,
DP,8,6,1129,
DP,8,7,1137,
DP,8,8,1145,
DP,8,9,1153,
DP,8,10,1161,
DP,8,11,1169,
DP,8,12,1177,
DP,8,13,1185,
DP,8,14,1193,
DP,8,15,1201,
DP,9,1,2376,
DP,9,2,2385,
DP,9,3,2394,
DP,9,4,2403,
DP,9,5,2412,
DP,9,6,2421,
DP,9,7,2430,
DP,9,8,2439,
DP,9,9,2448,
DP,9,10,2457,
DP,9,11,2466,
DP,9,12,2475,
DP,9,13,2484,
DP,9,14,2493,
DP,9,15,2502,
DP,10,1,5199,
DP,10,2,5209,
DP,10,3,5219,
DP,10,4,5229,
DP,10,5,5239,
DP,10,6,5249,
DP,10,7,5259,
DP,10,8,5269,
DP,10,9,5279,
DP,10,10,5289,
DP,10,11,5299,
DP,10,12,5309,
DP,10,13,5319,
DP,10,14,5329,
DP,10,15,5339,
DP,11,1,10000,
DP,11,2,10000,
DP,11,3,10000,
DP,11,4,10000,
DP,11,5,10000,
DP,11,6,10000,
DP,11,7,10000,
DP,11,8,10000,
DP,11,9,10000,
DP,11,10,10000,
DP,11,11,10000,
DP,11,12,10000,
DP,11,13,10000,
DP,11,14,10000,
DP,11,15,10000,
DP,12,1,10000,
DP,12,2,10000,
DP,12,3,10000,
DP,12,4,10000,
DP,12,5,10000,
DP,12,6,10000,
DP,12,7,10000,
DP,12,8,10000,
DP,12,9,10000,
DP,12,10,10000,
DP,12,11,10000,
DP,12,12,10000,
DP,12,13,10000,
DP,12,14,10000,
DP,12,15,10000,
DP,13,1,10000,
DP,13,2,10000,
DP,13,3,10000,
DP,13,4,10000,
DP,13,5,10000,
DP,13,6,10000,
DP,13,7,10000,
DP,13,8,10000,
DP,13,9,10000,
DP,13,10,10000,
DP,13,11,10000,
DP,13,12,10000,
DP,13,13,10000,
DP,13,14,10000,
DP,13,15,10000,
DP,14,1,10000,
DP,14,2,10000,
DP,14,3,10000,
DP,14,4,10000,
DP,14,5,10000,
DP,14,6,10000,
DP,14,7,10000,
DP,14,8,10000,
DP,14,9,10000,
DP,14,10,10000,
DP,14,11,10000,
DP,14,12,10000,
DP,14,13,10000,
DP,14,14,10000,
DP,14,15,10000,
DP,15,1,10000,
DP,15,2,10000,
DP,15,3,10000,
DP,15,4,10000,
DP,15,5,10000,
DP,15,6,10000,
DP,15,7,10000,
DP,15,8,10000,
DP,15,9,10000,
DP,15,10,10000,
DP,15,11,10000,
DP,15,12,10000,
DP,15,13,10000,
DP,15,14,10000,
DP,15,15,10000,
TA,1,1,21,
TA,1,2,24,
TA,1,3,27,
TA,1,4,30,
TA,1,5,33,
TA,1,6,36,
TA,1,7,39,
TA,1,8,42,
TA,1,9,45,
TA,1,10,48,
TA,1,11,51,
TA,1,12,54,
TA,1,13,57,
TA,1,14,60,
TA,1,15,63,
TA,2,1,123,
TA,2,2,132,
TA,2,3,141,
TA,2,4,150,
TA,2,5,159,
TA,2,6,168,
TA,2,7,177,
TA,2,8,186,
TA,2,9,195,
TA,2,10,204,
TA,2,11,213,
TA,2,12,222,
TA,2,13,231,
TA,2,14,240,
TA,2,15,249,
TA,3,1,638,
TA,3,2,729,
TA,3,3,750,
TA,3,4,771,
TA,3,5,792,
TA,3,6,745,
TA,3,7,790,
TA,3,8,855,
TA,3,9,876,
TA,3,10,897,
TA,3,11,850,
TA,3,12,871,
TA,3,13,951,
TA,3,14,913,
TA,3,15,958,
TA,4,1,3357,
TA,4,2,3317,
TA,4,3,3387,
TA,4,4,3498,
TA,4,5,3477,
TA,4,6,3702,
TA,4,7,3567,
TA,4,8,3657,
TA,4,9,3825,
TA,4,10,3745,
TA,4,11,3747,
TA,4,12,3858,
TA,4,13,3837,
TA,4,14,3971,
TA,4,15,3851,
TA,5,1,10000,
TA,5,2,10000,
TA,5,3,10000,
TA,5,4,10000,
TA,5,5,10000,
TA,5,6,10000,
TA,5,7,10000,
TA,5,8,10000,
TA,5,9,10000,
TA,5,10,10000,
TA,5,11,10000,
TA,5,12,10000,
TA,5,13,10000,
TA,5,14,10000,
TA,5,15,10000,
TA,6,1,10000,
TA,6,2,10000,
TA,6,3,10000,
TA,6,4,10000,
TA,6,5,10000,
TA,6,6,10000,
TA,6,7,10000,
TA,6,8,10000,
TA,6,9,10000,
TA,6,10,10000,
TA,6,11,10000,
TA,6,12,10000,
TA,6,13,10000,
TA,6,14,10000,
TA,6,15,10000,
TA,7,1,10000,
TA,7,2,10000,
TA,7,3,10000,
TA,7,4,10000,
TA,7,5,10000,
TA,7,6,10000,
TA,7,7,10000,
TA,7,8,10000,
TA,7,9,10000,
TA,7,10,10000,
TA,7,11,10000,
TA,7,12,10000,
TA,7,13,10000,
TA,7,14,10000,
TA,7,15,10000,
TA,8,1,10000,
TA,8,2,10000,
TA,8,3,10000,
TA,8,4,10000,
TA,8,5,10000,
TA,8,6,10000,
TA,8,7,10000,
TA,8,8,10000,
TA,8,9,10000,
TA,8,10,10000,
TA,8,11,10000,
TA,8,12,10000,
TA,8,13,10000,
TA,8,14,10000,
TA,8,15,10000,
TA,9,1,10000,
TA,9,2,10000,
TA,9,3,10000,
TA,9,4,10000,
TA,9,5,10000,
TA,9,6,10000,
TA,9,7,10000,
TA,9,8,10000,
TA,9,9,10000,
TA,9,10,10000,
TA,9,11,10000,
TA,9,12,10000,
TA,9,13,10000,
TA,9,14,10000,
TA,9,15,10000,
TA,10,1,10000,
TA,10,2,10000,
TA,10,3,10000,
TA,10,4,10000,
TA,10,5,10000,
TA,10,6,10000,
TA,10,7,10000,
TA,10,8,10000,
TA,10,9,10000,
TA,10,10,10000,
TA,10,11,10000,
TA,10,12,10000,
TA,10,13,10000,
TA,10,14,10000,
TA,10,15,10000,
TA,11,1,10000,
TA,11,2,10000,
TA,11,3,10000,
TA,11,4,10000,
TA,11,5,10000,
TA,11,6,10000,
TA,11,7,10000,
TA,11,8,10000,
TA,11,9,10000,
TA,11,10,10000,
TA,11,11,10000,
TA,11,12,10000,
TA,11,13,10000,
TA,11,14,10000,
TA,11,15,10000,
TA,12,1,10000,
TA,12,2,10000,
TA,12,3,10000,
TA,12,4,10000,
TA,12,5,10000,
TA,12,6,10000,
TA,12,7,10000,
TA,12,8,10000,
TA,12,9,10000,
TA,12,10,10000,
TA,12,11,10000,
TA,12,12,10000,
TA,12,13,10000,
TA,12,14,10000,
TA,12,15,10000,
TA,13,1,10000,
TA,13,2,10000,
TA,13,3,10000,
TA,13,4,10000,
TA,13,5,10000,
TA,13,6,10000,
TA,13,7,10000,
TA,13,8,10000,
TA,13,9,10000,
TA,13,10,10000,
TA,13,11,10000,
TA,13,12,10000,
TA,13,13,10000,
TA,13,14,10000,
TA,13,15,10000,
TA,14,1,10000,
TA,14,2,10000,
TA,14,3,10000,
TA,14,4,10000,
TA,14,5,10000,
TA,14,6,10000,
TA,14,7,10000,
TA,14,8,10000,
TA,14,9,10000,
TA,14,10,10000,
TA,14,11,10000,
TA,14,12,10000,
TA,14,13,10000,
TA,14,14,10000,
TA,14,15,10000,
TA,15,1,10000,
TA,15,2,10000,
TA,15,3,10000,
TA,15,4,10000,
TA,15,5,10000,
TA,15,6,10000,
TA,15,7,10000,
TA,15,8,10000,
TA,15,9,10000,
TA,15,10,10000,
TA,15,11,10000,
TA,15,12,10000,
TA,15,13,10000,
TA,15,14,10000,
TA,15,15,10000,
TL,1,1,9,
TL,1,2,8,
TL,1,3,8,
TL,1,4,8,
TL,1,5,8,
TL,1,6,8,
TL,1,7,8,
TL,1,8,8,
TL,1,9,8,
TL,1,10,8,
TL,1,11,8,
TL,1,12,8,
TL,1,13,8,
TL,1,14,8,
TL,1,15,8,
TL,2,1,16,
TL,2,2,10,
TL,2,3,10,
TL,2,4,10,
TL,2,5,10,
TL,2,6,10,
TL,2,7,10,
TL,2,8,10,
TL,2,9,10,
TL,2,10,10,
TL,2,11,10,
TL,2,12,10,
TL,2,13,10,
TL,2,14,10,
TL,2,15,10,
TL,3,1,35,
TL,3,2,12,
TL,3,3,12,
TL,3,4,12,
TL,3,5,12,
TL,3,6,12,
TL,3,7,12,
TL,3,8,12,
TL,3,9,12,
TL,3,10,12,
TL,3,11,12,
TL,3,12,12,
TL,3,13,12,
TL,3,14,12,
TL,3,15,12,
TL,4,1,51,
TL,4,2,14,
TL,4,3,14,
TL,4,4,14,
TL,4,5,14,
TL,4,6,14,
TL,4,7,14,
TL,4,8,14,
TL,4,9,14,
TL,4,10,14,
TL,4,11,14,
TL,4,12,14,
TL,4,13,14,
TL,4,14,14,
TL,4,15,14,
TL,5,1,81,
TL,5,2,16,
TL,5,3,16,
TL,5,4,16,
TL,5,5,16,
TL,5,6,16,
TL,5,7,16,
TL,5,8,16,
TL,5,9,16,
TL,5,10,16,
TL,5,11,16,
TL,5,12,16,
TL,5,13,16,
TL,5,14,16,
TL,5,15,16,
TL,6,1,122,
TL,6,2,18,
TL,6,3,18,
TL,6,4,18,
TL,6,5,18,
TL,6,6,18,
TL,6,7,18,
TL,6,8,18,
TL,6,9,18,
TL,6,10,18,
TL,6,11,18,
TL,6,12,18,
TL,6,13,18,
TL,6,14,18,
TL,6,15,18,
TL,7,1,176,
TL,7,2,20,
TL,7,3,20,
TL,7,4,20,
TL,7,5,20,
TL,7,6,20,
TL,7,7,20,
TL,7,8,20,
TL,7,9,20,
TL,7,10,20,
TL,7,11,20,
TL,7,12,20,
TL,7,13,20,
TL,7,14,20,
TL,7,15,20,
TL,8,1,245,
TL,8,2,22,
TL,8,3,22,
TL,8,4,22,
TL,8,5,22,
TL,8,6,22,
TL,8,7,22,
TL,8,8,22,
TL,8,9,22,
TL,8,10,22,
TL,8,11,22,
TL,8,12,22,
TL,8,13,22,
TL,8,14,22,
TL,8,15,22,
TL,9,1,331,
TL,9,2,24,
TL,9,3,24,
TL,9,4,24,
TL,9,5,24,
TL,9,6,24,
TL,9,7,24,
TL,9,8,24,
TL,9,9,24,
TL,9,10,24,
TL,9,11,24,
TL,9,12,24,
TL,9,13,24,
TL,9,14,24,
TL,9,15,24,
TL,10,1,436,
TL,10,2,26,
TL,10,3,26,
TL,10,4,26,
TL,10,5,26,
TL,10,6,26,
TL,10,7,26,
TL,10,8,26,
TL,10,9,26,
TL,10,10,26,
TL,10,11,26,
TL,10,12,26,
TL,10,13,26,
TL,10,14,26,
TL,10,15,26,
TL,11,1,546,
TL,11,2,28,
TL,11,3,28,
TL,11,4,28,
TL,11,5,28,
TL,11,6,28,
TL,11,7,28,
TL,11,8,28,
TL,11,9,28,
TL,11,10,28,
TL,11,11,28,
TL,11,12,28,
TL,11,13,28,
TL,11,14,28,
TL,11,15,28,
TL,12,1,695,
TL,12,2,30,
TL,12,3,30,
TL,12,4,30,
TL,12,5,30,
TL,12,6,30,
TL,12,7,30,
TL,12,8,30,
TL,12,9,30,
TL,12,10,30,
TL,12,11,30,
TL,12,12,30,
TL,12,13,30,
TL,12,14,30,
TL,12,15,30,
TL,13,1,869,
TL,13,2,32,
TL,13,3,32,
TL,13,4,32,
TL,13,5,32,
TL,13,6,32,
TL,13,7,32,
TL,13,8,32,
TL,13,9,32,
TL,13,10,32,
TL,13,11,32,
TL,13,12,32,
TL,13,13,32,
TL,13,14,32,
TL,13,15,32,
TL,14,1,1070,
TL,14,2,34,
TL,14,3,34,
TL,14,4,34,
TL,14,5,34,
TL,14,6,34,
TL,14,7,34,
TL,14,8,34,
TL,14,9,34,
TL,14,10,34,
TL,14,11,34,
TL,14,12,34,
TL,14,13,34,
TL,14,14,34,
TL,14,15,34,
TL,15,1,1300,
TL,15,2,36,
TL,15,3,36,
TL,15,4,36,
TL,15,5,36,
TL,15,6,36,
TL,15,7,36,
TL,15,8,36,
TL,15,9,36,
TL,15,10,36,
TL,15,11,36,
TL,15,12,36,
TL,15,13,36,
TL,15,14,36,
TL,15,15,36,
CM,1,1,21,
CM,1,2,42,
CM,1,3,69,
CM,1,4,102,
CM,1,5,141,
CM,1,6,186,
CM,1,7,237,
CM,1,8,294,
CM,1,9,357,
CM,1,10,426,
CM,1,11,501,
CM,1,12,582,
CM,1,13,669,
CM,1,14,762,
CM,1,15,861,
CM,2,1,132,
CM,2,2,413,
CM,2,3,886,
CM,2,4,1583,
CM,2,5,10000,
CM,2,6,10000,
CM,2,7,10000,
CM,2,8,10000,
CM,2,9,10000,
CM,2,10,10000,
CM,2,11,10000,
CM,2,12,10000,
CM,2,13,10000,
CM,2,14,10000,
CM,2,15,10000,
CM,3,1,922,
CM,3,2,4741,
CM,3,3,10000,
CM,3,4,10000,
CM,3,5,10000,
CM,3,6,10000,
CM,3,7,10000,
CM,3,8,10000,
CM,3,9,10000,
CM,3,10,10000,
CM,3,11,10000,
CM,3,12,10000,
CM,3,13,10000,
CM,3,14,10000,
CM,3,15,10000,
CM,4,1,6620,
CM,4,2,10000,
CM,4,3,10000,
CM,4,4,10000,
CM,4,5,10000,
CM,4,6,10000,
CM,4,7,10000,
CM,4,8,10000,
CM,4,9,10000,
CM,4,10,10000,
CM,4,11,10000,
CM,4,12,10000,
CM,4,13,10000,
CM,4,14,10000,
CM,4,15,10000,
CM,5,1,10000,
CM,5,2,10000,
CM,5,3,10000,
CM,5,4,10000,
CM,5,5,10000,
CM,5,6,10000,
CM,5,7,10000,
CM,5,8,10000,
CM,5,9,10000,
CM,5,10,10000,
CM,5,11,10000,
CM,5,12,10000,
CM,5,13,10000,
CM,5,14,10000,
CM,5,15,10000,
CM,6,1,10000,
CM,6,2,10000,
CM,6,3,10000,
CM,6,4,10000,
CM,6,5,10000,
CM,6,6,10000,
CM,6,7,10000,
CM,6,8,10000,
CM,6,9,10000,
CM,6,10,10000,
CM,6,11,10000,
CM,6,12,10000,
CM,6,13,10000,
CM,6,14,10000,
CM,6,15,10000,
CM,7,1,10000,
CM,7,2,10000,
CM,7,3,10000,
CM,7,4,10000,
CM,7,5,10000,
CM,7,6,10000,
CM,7,7,10000,
CM,7,8,10000,
CM,7,9,10000,
CM,7,10,10000,
CM,7,11,10000,
CM,7,12,10000,
CM,7,13,10000,
CM,7,14,10000,
CM,7,15,10000,
CM,8,1,10000,
CM,8,2,10000,
CM,8,3,10000,
CM,8,4,10000,
CM,8,5,10000,
CM,8,6,10000,
CM,8,7,10000,
CM,8,8,10000,
CM,8,9,10000,
CM,8,10,10000,
CM,8,11,10000,
CM,8,12,10000,
CM,8,13,10000,
CM,8,14,10000,
CM,8,15,10000,
CM,9,1,10000,
CM,9,2,10000,
CM,9,3,10000,
CM,9,4,10000,
CM,9,5,10000,
CM,9,6,10000,
CM,9,7,10000,
CM,9,8,10000,
CM,9,9,10000,
CM,9,10,10000,
CM,9,11,10000,
CM,9,12,10000,
CM,9,13,10000,
CM,9,14,10000,
CM,9,15,10000,
CM,10,1,10000,
CM,10,2,10000,
CM,10,3,10000,
CM,10,4,10000,
CM,10,5,10000,
CM,10,6,10000,
CM,10,7,10000,
CM,10,8,10000,
CM,10,9,10000,
CM,10,10,10000,
CM,10,11,10000,
CM,10,12,10000,
CM,10,13,10000,
CM,10,14,10000,
CM,10,15,10000,
