Instance,N,K,Transitions,States,Time(ms),Failed,Features Vectors
TL,4,15,47,44,68.0,False,"{32514177, 29364226, 29364482, 54001796, 32505988, 59249154, 59248706, 32515080, 15728784}"
TL,5,2,67,64,119.0,False,"{32514177, 29364226, 29364482, 54001796, 32505988, 12587266, 59249154, 32515080, 59248706, 15728784}"
TL,5,3,67,64,115.0,False,"{32514177, 29364226, 29364482, 54001796, 32505988, 12587266, 59249154, 32515080, 59248706, 15728784}"
TL,5,4,67,64,115.0,False,"{32514177, 29364226, 29364482, 54001796, 32505988, 12587266, 59249154, 32515080, 59248706, 15728784}"
TL,5,5,67,64,117.0,False,"{32514177, 29364226, 29364482, 54001796, 32505988, 12587266, 59249154, 32515080, 59248706, 15728784}"
TL,5,6,67,64,114.0,False,"{32514177, 29364226, 29364482, 54001796, 32505988, 12587266, 59249154, 32515080, 59248706, 15728784}"
TL,5,7,67,64,116.0,False,"{32514177, 29364226, 29364482, 54001796, 32505988, 12587266, 59249154, 32515080, 59248706, 15728784}"
TL,5,8,67,64,117.0,False,"{32514177, 29364226, 29364482, 54001796, 32505988, 12587266, 59249154, 32515080, 59248706, 15728784}"
TL,5,9,67,64,119.0,False,"{32514177, 29364226, 29364482, 54001796, 32505988, 12587266, 59249154, 32515080, 59248706, 15728784}"
TL,5,10,67,64,115.0,False,"{32514177, 29364226, 29364482, 54001796, 32505988, 12587266, 59249154, 32515080, 59248706, 15728784}"
TL,5,11,67,64,206.0,False,"{32514177, 29364226, 29364482, 54001796, 32505988, 12587266, 59249154, 32515080, 59248706, 15728784}"
TL,5,12,67,64,116.0,False,"{32514177, 29364226, 29364482, 54001796, 32505988, 12587266, 59249154, 32515080, 59248706, 15728784}"
TL,5,13,67,64,114.0,False,"{32514177, 29364226, 29364482, 54001796, 32505988, 12587266, 59249154, 32515080, 59248706, 15728784}"
TL,5,14,67,64,123.0,False,"{32514177, 29364226, 29364482, 54001796, 32505988, 12587266, 59249154, 32515080, 59248706, 15728784}"
TL,5,15,67,64,225.0,False,"{32514177, 29364226, 29364482, 54001796, 32505988, 12587266, 59249154, 32515080, 59248706, 15728784}"
TL,6,2,91,88,177.0,False,"{32514177, 29364226, 29364482, 54001796, 32505988, 59249154, 59248706, 32515080, 15728784}"
TL,6,3,91,88,191.0,False,"{32514177, 29364226, 29364482, 54001796, 32505988, 59249154, 59248706, 32515080, 15728784}"
TL,6,4,91,88,179.0,False,"{32514177, 29364226, 29364482, 54001796, 32505988, 59249154, 59248706, 32515080, 15728784}"
TL,6,5,91,88,183.0,False,"{32514177, 29364226, 29364482, 54001796, 32505988, 59249154, 59248706, 32515080, 15728784}"
