Instance,N,K,Transitions,States,Time(ms),Failed,Features Vectors
DP,3,7,760,688,1477.0,False,"{130025473, 115345409, 130064386, 130023556, 130023940, 62947842, 115343620, 130025480, 130024456, 81789960, 214959112, 216007688, 130023684, 214434824, 62947458, 117465104, 117457936, 50349072, 117466128, 236994832, 102777104, 101204240, 117457168, 113770756, 115343876, 113771012, 130023488, 216014912, 130031680, 249569344, 62922816, 48242752, 130024000, 81789504, 216006976, 216007232, 113772545, 214434112, 46669888, 214434368}"
DP,3,8,270,247,438.0,False,"{130025473, 115345409, 130064386, 130023556, 130023940, 62947842, 130023684, 130025480, 130024456, 214959112, 81789960, 216007688, 115343876, 62947458, 117465104, 117457936, 50349072, 117466128, 236994832, 102777104, 117457168, 130023488, 216014912, 130031680, 48242752, 130024000, 216007232, 216006976}"
DP,3,9,391,365,869.0,False,"{130025473, 115345409, 130064386, 130023556, 130023940, 62947842, 62947458, 130025480, 130024456, 81789960, 216007688, 214959112, 130023684, 117465104, 117457936, 50349072, 236994832, 102777104, 115343876, 130023488, 216014912, 130031680, 249569344, 48242752, 62922816, 130024000, 216007232, 216006976}"
DP,3,10,221,209,346.0,False,"{130025473, 130064386, 62947842, 130023556, 130023940, 115345409, 115343620, 130025480, 130024456, 214959112, 62947458, 130023684, 115343876, 117465104, 117457936, 50349072, 236994832, 102777104, 130023488, 216014912, 130031680, 249569344, 48242752, 62922816, 130024000, 216006976}"
DP,3,11,440,417,942.0,False,"{130025473, 115345409, 130064386, 130023556, 130023940, 62947842, 115343620, 130025480, 130024456, 81789960, 216007688, 214959112, 130023684, 62947458, 117465104, 117457936, 50349072, 117466128, 236994832, 102777104, 115343876, 130023488, 216014912, 130031680, 249569344, 48242752, 62922816, 130024000, 216007232, 81789504, 216006976}"
DP,3,12,351,338,750.0,False,"{130025473, 130064386, 62947842, 130023556, 130023940, 130023684, 62947458, 130025480, 130024456, 81789960, 214959112, 115343876, 117465104, 117457936, 50349072, 117466128, 236994832, 117457168, 102777104, 130023488, 216014912, 130031680, 249569344, 62922816, 48242752, 130024000, 81789504, 216006976, 216007232}"
DP,3,13,423,397,1112.0,False,"{130025473, 115345409, 130064386, 130023556, 130023940, 62947842, 130023684, 130025480, 130024456, 214959112, 81789960, 216007688, 115343876, 62947458, 117465104, 117457936, 50349072, 117466128, 236994832, 253772048, 102777104, 117457168, 130023488, 216014912, 130031680, 249569344, 48242752, 62922816, 130024000, 216007232, 216006976}"
DP,3,14,662,635,1543.0,False,"{130025473, 115345409, 62947842, 130023556, 130023940, 130023684, 130064386, 130025480, 130024456, 216007688, 214959112, 81789960, 115343876, 62947458, 117465104, 117457936, 50349072, 236994832, 102777104, 130023488, 216014912, 130031680, 48242752, 130024000, 216006976, 216007232, 266338880, 81789504}"
DP,3,15,680,655,1508.0,False,"{130025473, 115345409, 130064386, 130023556, 130023940, 62947842, 130023684, 130025480, 130024456, 214959112, 216007688, 81789960, 115343876, 62947458, 117465104, 117457936, 50349072, 236994832, 253772048, 102777104, 130023488, 216014912, 130031680, 249569344, 48242752, 62922816, 130024000, 81789504, 216006976, 216007232}"
DP,4,2,2191,1729,26672.0,False,"{130025473, 115345409, 62947842, 130023556, 130023940, 130064386, 62947458, 130025480, 130024456, 214959112, 81789960, 216007688, 130023684, 214434824, 130056322, 117465104, 50356240, 117457936, 50349072, 236994832, 50348304, 117457168, 169885968, 102777104, 62914692, 115343620, 115343876, 113771012, 130023488, 216014912, 130031680, 62914624, 62922816, 249569344, 266346560, 48242752, 130024000, 81789504, 113772545, 216006976, 81789248, 216007232, 249561664, 214434368, 80216640, 247996480, 253772048, 46669888, 113778752, 117466128, 50357264, 237003792, 235430928}"
DP,4,3,1415,1196,9038.0,False,"{130025473, 115345409, 130064386, 130023556, 130023940, 62947842, 62947458, 130025480, 130024456, 81789960, 216007688, 214959112, 130023684, 214434824, 80217096, 117465104, 50356240, 117457936, 50349072, 117466128, 117457168, 237002768, 236994832, 50348304, 253772048, 115343620, 113770756, 115343876, 113771012, 130023488, 216014912, 62914624, 130031680, 62922816, 249569344, 48242752, 115351616, 132128832, 130024000, 113772545, 130023744, 81789248, 216006976, 214434112, 253779984, 235429904, 81789504, 216007232, 249561664, 214434368, 80216640, 247988800, 186663184, 102777104, 235421968, 46669888, 247996480, 113778752, 237003792, 235430928}"
DP,4,4,2778,2360,36122.0,False,"{130025473, 115345409, 130064386, 130023556, 130023940, 62947842, 62947458, 130025480, 130024456, 81789960, 214959112, 216007688, 130023684, 214434824, 117465104, 117457936, 50349072, 50356240, 236994832, 117457168, 253779984, 50357264, 117466128, 253772048, 115343620, 113770756, 115343876, 113771012, 130023488, 216014912, 62922816, 130031680, 62914624, 249569344, 48242752, 115351616, 130024000, 81789504, 113772545, 81789248, 216006976, 214434112, 216007232, 249561664, 214434368, 132128832, 169885968, 50348304, 102777104, 235421968, 186663184, 46669888, 247996480, 113778752, 266346560, 235430928}"
DP,4,5,1094,998,7671.0,False,"{130025473, 115345409, 62947842, 130023556, 130023940, 130064386, 130023684, 130025480, 130024456, 81789960, 214959112, 216007688, 115343876, 62947458, 117465104, 50356240, 117457936, 50349072, 117457168, 236994832, 50348304, 102786064, 117466128, 115343620, 130023488, 216014912, 62922816, 130031680, 62914624, 115351616, 249569344, 48242752, 266346560, 130024000, 216006976, 216007232, 81789504, 249561664}"
DP,4,6,3071,2713,30171.0,False,"{130025473, 115345409, 130064386, 130023556, 130023940, 62947842, 62947458, 130025480, 130024456, 81789960, 216007688, 214959112, 130023684, 214434824, 130056322, 117465104, 50356240, 117457936, 50349072, 50357264, 117466128, 117457168, 237002768, 236994832, 169885968, 62914692, 130056706, 115343620, 113770756, 46662208, 115343876, 113771012, 130023488, 216014912, 130031680, 249569344, 62922816, 62914624, 48242752, 130024000, 115351616, 132128832, 113772545, 130023744, 216006976, 81789248, 214434112, 266340353, 253779984, 81789504, 216007232, 249561664, 214434368, 247988800, 247996480, 50348304, 102777104, 46669888, 113778752, 168313104, 235430928, 236995600, 101205008}"
DP,4,7,3127,2814,23631.0,False,"{130025473, 115345409, 62947842, 130023556, 130023940, 130064386, 130023684, 130025480, 130024456, 81789960, 214959112, 216007688, 115343876, 214434824, 62947458, 117465104, 50356240, 117457936, 50349072, 236994832, 117457168, 50348304, 117466128, 50357264, 102777104, 115343620, 113770756, 113771012, 130023488, 216014912, 62922816, 130031680, 249569344, 62914624, 48242752, 130024000, 81789504, 216007232, 113772545, 216006976, 81789248, 80217096, 214434112, 80216384, 249561664, 214434368, 247988800, 80216640, 247996480, 46669888, 169885968, 101204240, 235421968, 266346560, 113778752}"
DP,4,8,3665,3323,40728.0,False,"{130025473, 115345409, 130064386, 130023556, 130023940, 62947842, 130023684, 130025480, 130024456, 214959112, 81789960, 216007688, 115343876, 214434824, 62947458, 117465104, 117457936, 50349072, 117457168, 237002768, 102785040, 50356240, 117466128, 50357264, 253779984, 115343620, 113770756, 113771012, 130023488, 216014912, 130031680, 62922816, 62914624, 249569344, 48242752, 115351616, 130024000, 81789504, 113772545, 130023744, 216006976, 81789248, 214434112, 80217096, 216007232, 249561664, 214434368, 80216640, 247996480, 236994832, 169885968, 50348304, 102777104, 113778752, 101204240, 46669888}"
DP,4,9,1790,1651,4404.0,False,"{130025473, 115345409, 62947458, 130023556, 130023940, 130023684, 130064386, 130025480, 130024456, 81789960, 216007688, 214959112, 115343620, 214434824, 80217096, 117465104, 50356240, 117457936, 50349072, 236994832, 117457168, 235421968, 117466128, 102777104, 253772048, 62947842, 113770756, 113771012, 115343876, 130023488, 216014912, 130031680, 62914624, 249569344, 62922816, 115351616, 48242752, 132128832, 130024000, 113772545, 216006976, 80216384, 214434112, 130023744, 237002768, 235429904, 81789504, 216007232, 80216640, 214434368, 247988800, 247996480, 46669888, 113778752}"
DP,4,10,1974,1830,7288.0,False,"{130025473, 115345409, 130064386, 130023556, 130023940, 62947842, 130023684, 130025480, 130024456, 81789960, 216007688, 214959112, 115343876, 214434824, 62947458, 117465104, 50356240, 117457936, 50349072, 117466128, 236994832, 117457168, 102777104, 101204240, 253772048, 115343620, 266338564, 113770756, 113771012, 130023488, 216014912, 62922816, 130031680, 249569344, 62914624, 48242752, 115351616, 130024000, 216007232, 132128832, 216006976, 214434112, 113772545, 130023744, 81789248, 237002768, 235429904, 81789504, 247988800, 214434368, 80216640, 46669888, 235421968, 247996480, 113778752, 50357264}"
DP,4,11,651,614,1973.0,False,"{130025473, 115345409, 130064386, 130023556, 130023940, 62947842, 115343620, 130025480, 130024456, 81789960, 214959112, 130023684, 115343876, 62947458, 117465104, 50356240, 117457936, 50349072, 236994832, 169885968, 102777104, 117457168, 130023488, 216014912, 62914624, 130031680, 62922816, 249569344, 199237696, 48242752, 115351616, 266346560, 247996480, 216006976, 130024000, 81789504}"
DP,4,12,4134,3845,37488.0,False,"{130025473, 115345409, 130064386, 130023556, 130023940, 62947842, 130023684, 130025480, 130024456, 216007688, 214959112, 81789960, 115343876, 214434824, 62947458, 117465104, 50356240, 117457936, 50349072, 117466128, 236994832, 102777104, 117457168, 169885968, 50348304, 115343620, 266338564, 113771012, 130023488, 216014912, 62922816, 130031680, 62914624, 249569344, 48242752, 115351616, 132128832, 130024000, 113772545, 216006976, 81789248, 130023744, 80216384, 266340353, 80217096, 237002768, 235429904, 216007232, 81789504, 249561664, 214434368, 80216640, 46669888, 235421968, 247996480, 50357264, 235430928}"
DP,4,13,5001,4687,63947.0,True,"{130025473, 115345409, 130064386, 130023556, 130023940, 62947842, 115343620, 130025480, 130024456, 81789960, 216007688, 214959112, 130023684, 62947458, 117465104, 50356240, 117457936, 50349072, 236994832, 117457168, 50348304, 236995600, 169885968, 102777104, 115343876, 130023488, 216014912, 130031680, 249569344, 62922816, 130024000, 216007232, 62914624, 266346560, 48242752, 216006976, 81789248, 81789504, 249561664, 117466128, 50357264}"
DP,4,14,5001,5001,9999,True,set()
DP,4,15,5001,5001,9999,True,set()
DP,5,2,3977,3269,83283.0,False,"{130025473, 115345409, 130056706, 130023556, 130023940, 266340353, 130064386, 130025480, 130024456, 81789960, 216007688, 214959112, 130023684, 214434824, 62947458, 117465104, 117457936, 50349072, 236994832, 117457168, 50348304, 117466128, 50356240, 102777104, 50357264, 62947842, 113770756, 115343876, 113771012, 62915076, 130023488, 216014912, 130031680, 266346560, 249569344, 48242752, 62922816, 132128832, 199237696, 115351616, 247996480, 130023744, 216006976, 81789248, 113772545, 214434112, 80217096, 80216384, 130024000, 81789504, 216007232, 62915136, 48235072, 80216640, 214434368, 235421968, 46662208, 46669888, 113778752, 180887616, 182460480, 235430928}"
DP,5,3,4078,3474,43249.0,False,"{130025473, 115345409, 130056706, 130023556, 130023940, 62947458, 130023684, 130025480, 130024456, 81789960, 214959112, 216007688, 130064386, 214434824, 80217096, 117465104, 117457936, 50349072, 50356240, 236994832, 117457168, 169885968, 117466128, 253772048, 102777104, 62947842, 115343620, 113770756, 113771012, 115343876, 266338820, 130023488, 216014912, 130031680, 249569344, 48242752, 266346560, 132128832, 62922816, 199237696, 115351616, 113772545, 81789248, 130023744, 216006976, 214434112, 130024000, 81789504, 216007232, 62915136, 214434368, 46662208, 235421968, 80216640, 48235072, 50348304, 113778752, 247996480, 46669888, 180887616, 50357264}"
DP,5,4,5001,4380,156331.0,True,"{130025473, 115345409, 62947458, 130023556, 130023940, 130023684, 130056706, 130025480, 130024456, 81789960, 216007688, 214959112, 130064386, 117465104, 117457936, 50349072, 117466128, 50356240, 236994832, 253772048, 117457168, 50348304, 50357264, 62947842, 115343620, 115343876, 130023488, 216014912, 130031680, 249569344, 48242752, 266346560, 132128832, 62922816, 199237696, 115351616, 130023744, 216006976, 81789248, 102785040, 130024000, 216007232, 81789504, 62915136, 48235072, 102777104}"
DP,5,5,5001,5001,9999,True,set()
DP,5,6,5001,5001,9999,True,set()
DP,5,7,5001,5001,9999,True,set()
DP,5,8,5001,5001,9999,True,set()
DP,5,9,5001,5001,9999,True,set()
DP,5,10,5001,5001,9999,True,set()
DP,5,11,5001,5001,9999,True,set()
DP,5,12,5001,5001,9999,True,set()
DP,5,13,5001,5001,9999,True,set()
DP,5,14,5001,5001,9999,True,set()
DP,5,15,5001,5001,9999,True,set()
DP,6,2,5001,4211,183855.0,True,"{130025473, 115345409, 62947458, 130023556, 130023940, 130056706, 130023684, 130025480, 130024456, 81789960, 214959112, 216007688, 266338820, 130064386, 130056322, 117465104, 117457936, 50349072, 50356240, 236994832, 117457168, 253779984, 117466128, 253772048, 50348304, 62914692, 62947842, 115343620, 62915076, 130023488, 216014912, 62914624, 130031680, 266346560, 249569344, 48242752, 132128832, 199237696, 62922816, 115351616, 65019968, 130023744, 81789248, 130024000, 216007232, 81789504, 50357264, 236995600}"
DP,6,3,5001,5001,9999,True,set()
DP,6,4,5001,5001,9999,True,set()
DP,6,5,5001,5001,9999,True,set()
DP,6,6,5001,5001,9999,True,set()
DP,6,7,5001,5001,9999,True,set()
DP,6,8,5001,5001,9999,True,set()
DP,6,9,5001,5001,9999,True,set()
DP,6,10,5001,5001,9999,True,set()
DP,6,11,5001,5001,9999,True,set()
DP,6,12,5001,5001,9999,True,set()
DP,6,13,5001,5001,9999,True,set()
DP,6,14,5001,5001,9999,True,set()
DP,6,15,5001,5001,9999,True,set()
DP,7,2,5001,5001,9999,True,set()
DP,7,3,5001,5001,9999,True,set()
DP,7,4,5001,5001,9999,True,set()
DP,7,5,5001,5001,9999,True,set()
DP,7,6,5001,5001,9999,True,set()
DP,7,7,5001,5001,9999,True,set()
DP,7,8,5001,5001,9999,True,set()
DP,7,9,5001,5001,9999,True,set()
DP,7,10,5001,5001,9999,True,set()
DP,7,11,5001,5001,9999,True,set()
DP,7,12,5001,5001,9999,True,set()
DP,7,13,5001,5001,9999,True,set()
DP,7,14,5001,5001,9999,True,set()
DP,7,15,5001,5001,9999,True,set()
DP,8,2,5001,5001,9999,True,set()
DP,8,3,5001,5001,9999,True,set()
DP,8,4,5001,5001,9999,True,set()
DP,8,5,5001,5001,9999,True,set()
DP,8,6,5001,5001,9999,True,set()
DP,8,7,5001,5001,9999,True,set()
DP,8,8,5001,5001,9999,True,set()
DP,8,9,5001,5001,9999,True,set()
DP,8,10,5001,5001,9999,True,set()
DP,8,11,5001,5001,9999,True,set()
DP,8,12,5001,5001,9999,True,set()
DP,8,13,5001,5001,9999,True,set()
DP,8,14,5001,5001,9999,True,set()
DP,8,15,5001,5001,9999,True,set()
DP,9,2,5001,5001,9999,True,set()
DP,9,3,5001,5001,9999,True,set()
DP,9,4,5001,5001,9999,True,set()
DP,9,5,5001,5001,9999,True,set()
DP,9,6,5001,5001,9999,True,set()
DP,9,7,5001,5001,9999,True,set()
DP,9,8,5001,5001,9999,True,set()
DP,9,9,5001,5001,9999,True,set()
DP,9,10,5001,5001,9999,True,set()
DP,9,11,5001,5001,9999,True,set()
DP,9,12,5001,5001,9999,True,set()
DP,9,13,5001,5001,9999,True,set()
DP,9,14,5001,5001,9999,True,set()
DP,9,15,5001,5001,9999,True,set()
DP,10,2,5001,5001,9999,True,set()
DP,10,3,5001,5001,9999,True,set()
DP,10,4,5001,5001,9999,True,set()
DP,10,5,5001,5001,9999,True,set()
DP,10,6,5001,5001,9999,True,set()
DP,10,7,5001,5001,9999,True,set()
DP,10,8,5001,5001,9999,True,set()
DP,10,9,5001,5001,9999,True,set()
DP,10,10,5001,5001,9999,True,set()
DP,10,11,5001,5001,9999,True,set()
DP,10,12,5001,5001,9999,True,set()
DP,10,13,5001,5001,9999,True,set()
DP,10,14,5001,5001,9999,True,set()
DP,10,15,5001,5001,9999,True,set()
DP,11,2,5001,5001,9999,True,set()
DP,11,3,5001,5001,9999,True,set()
DP,11,4,5001,5001,9999,True,set()
DP,11,5,5001,5001,9999,True,set()
DP,11,6,5001,5001,9999,True,set()
DP,11,7,5001,5001,9999,True,set()
DP,11,8,5001,5001,9999,True,set()
DP,11,9,5001,5001,9999,True,set()
DP,11,10,5001,5001,9999,True,set()
DP,11,11,5001,5001,9999,True,set()
DP,11,12,5001,5001,9999,True,set()
DP,11,13,5001,5001,9999,True,set()
DP,11,14,5001,5001,9999,True,set()
