Instance,N,K,Name,Transitions,States,Time(ms),Failed,Method
BW,5,6,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,5,7,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,5,8,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,5,9,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,5,10,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,5,11,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,5,12,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,5,13,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,5,14,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,5,15,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,6,1,./results/models/BW/IERL/BW-2-2-6275-partial.pth,4115,2223,1848062,False,IERL
BW,6,2,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,5407,13103048,True,IERL
BW,6,3,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,6,4,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,6,5,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,6,6,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,6,7,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,6,8,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,6,9,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,6,10,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,6,11,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,6,12,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,6,13,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,6,14,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
