Instance,N,K,Name,Transitions,States,Time(ms),Failed,Method
TA,6,2,./results/models/TA/2-2/TA-2-2-6700-partial.pth,8750,5173,7564520,False,2-2
TA,6,3,./results/models/TA/2-2/TA-2-2-6700-partial.pth,11046,6403,12444360,False,2-2
TA,6,4,./results/models/TA/2-2/TA-2-2-6700-partial.pth,12376,7131,15621346,False,2-2
TA,6,5,./results/models/TA/2-2/TA-2-2-6700-partial.pth,11411,6670,12645343,False,2-2
TA,6,6,./results/models/TA/2-2/TA-2-2-6700-partial.pth,13161,7587,17105287,False,2-2
TA,6,7,./results/models/TA/2-2/TA-2-2-6700-partial.pth,13240,7668,16773266,False,2-2
TA,6,8,./results/models/TA/2-2/TA-2-2-6700-partial.pth,13199,7663,15832090,False,2-2
TA,6,9,./results/models/TA/2-2/TA-2-2-6700-partial.pth,13860,8032,17733556,False,2-2
TA,6,10,./results/models/TA/2-2/TA-2-2-6700-partial.pth,14021,8133,17380461,False,2-2
TA,6,11,./results/models/TA/2-2/TA-2-2-6700-partial.pth,14215,8244,17669488,False,2-2
TA,6,12,./results/models/TA/2-2/TA-2-2-6700-partial.pth,14363,8378,17415651,False,2-2
TA,6,13,./results/models/TA/2-2/TA-2-2-6700-partial.pth,14504,8470,16939146,False,2-2
TA,6,14,./results/models/TA/2-2/TA-2-2-6700-partial.pth,14772,8622,17357594,False,2-2
TA,6,15,./results/models/TA/2-2/TA-2-2-6700-partial.pth,14931,8748,17530431,False,2-2
TA,7,2,./results/models/TA/2-2/TA-2-2-6700-partial.pth,15001,8969,24339585,True,2-2
TA,7,3,./results/models/TA/2-2/TA-2-2-6700-partial.pth,15001,15001,9999,True,2-2
TA,7,4,./results/models/TA/2-2/TA-2-2-6700-partial.pth,15001,15001,9999,True,2-2
TA,7,5,./results/models/TA/2-2/TA-2-2-6700-partial.pth,15001,15001,9999,True,2-2
TA,7,6,./results/models/TA/2-2/TA-2-2-6700-partial.pth,15001,15001,9999,True,2-2
TA,7,7,./results/models/TA/2-2/TA-2-2-6700-partial.pth,15001,15001,9999,True,2-2
TA,7,8,./results/models/TA/2-2/TA-2-2-6700-partial.pth,15001,15001,9999,True,2-2
TA,7,9,./results/models/TA/2-2/TA-2-2-6700-partial.pth,15001,15001,9999,True,2-2
TA,7,10,./results/models/TA/2-2/TA-2-2-6700-partial.pth,15001,15001,9999,True,2-2
TA,7,11,./results/models/TA/2-2/TA-2-2-6700-partial.pth,15001,15001,9999,True,2-2
TA,7,12,./results/models/TA/2-2/TA-2-2-6700-partial.pth,15001,15001,9999,True,2-2
TA,7,13,./results/models/TA/2-2/TA-2-2-6700-partial.pth,15001,15001,9999,True,2-2
TA,7,14,./results/models/TA/2-2/TA-2-2-6700-partial.pth,15001,15001,9999,True,2-2
TA,7,15,./results/models/TA/2-2/TA-2-2-6700-partial.pth,15001,15001,9999,True,2-2
TA,8,2,./results/models/TA/2-2/TA-2-2-6700-partial.pth,15001,15001,9999,True,2-2
TA,8,3,./results/models/TA/2-2/TA-2-2-6700-partial.pth,15001,15001,9999,True,2-2
TA,8,4,./results/models/TA/2-2/TA-2-2-6700-partial.pth,15001,15001,9999,True,2-2
TA,8,5,./results/models/TA/2-2/TA-2-2-6700-partial.pth,15001,15001,9999,True,2-2
TA,8,6,./results/models/TA/2-2/TA-2-2-6700-partial.pth,15001,15001,9999,True,2-2
TA,8,7,./results/models/TA/2-2/TA-2-2-6700-partial.pth,15001,15001,9999,True,2-2
TA,8,8,./results/models/TA/2-2/TA-2-2-6700-partial.pth,15001,15001,9999,True,2-2
TA,8,9,./results/models/TA/2-2/TA-2-2-6700-partial.pth,15001,15001,9999,True,2-2
TA,8,10,./results/models/TA/2-2/TA-2-2-6700-partial.pth,15001,15001,9999,True,2-2
TA,8,11,./results/models/TA/2-2/TA-2-2-6700-partial.pth,15001,15001,9999,True,2-2
TA,8,12,./results/models/TA/2-2/TA-2-2-6700-partial.pth,15001,15001,9999,True,2-2
TA,8,13,./results/models/TA/2-2/TA-2-2-6700-partial.pth,15001,15001,9999,True,2-2
TA,8,14,./results/models/TA/2-2/TA-2-2-6700-partial.pth,15001,15001,9999,True,2-2
TA,8,15,./results/models/TA/2-2/TA-2-2-6700-partial.pth,15001,15001,9999,True,2-2
TA,9,2,./results/models/TA/2-2/TA-2-2-6700-partial.pth,15001,15001,9999,True,2-2
TA,9,3,./results/models/TA/2-2/TA-2-2-6700-partial.pth,15001,15001,9999,True,2-2
TA,9,4,./results/models/TA/2-2/TA-2-2-6700-partial.pth,15001,15001,9999,True,2-2
TA,9,5,./results/models/TA/2-2/TA-2-2-6700-partial.pth,15001,15001,9999,True,2-2
TA,9,6,./results/models/TA/2-2/TA-2-2-6700-partial.pth,15001,15001,9999,True,2-2
TA,9,7,./results/models/TA/2-2/TA-2-2-6700-partial.pth,15001,15001,9999,True,2-2
TA,9,8,./results/models/TA/2-2/TA-2-2-6700-partial.pth,15001,15001,9999,True,2-2
TA,9,9,./results/models/TA/2-2/TA-2-2-6700-partial.pth,15001,15001,9999,True,2-2
TA,9,10,./results/models/TA/2-2/TA-2-2-6700-partial.pth,15001,15001,9999,True,2-2
TA,9,11,./results/models/TA/2-2/TA-2-2-6700-partial.pth,15001,15001,9999,True,2-2
