Instance,N,K,Transitions,States,Time(ms),Failed,Features Vectors
AT,3,3,511,300,5348.0,False,"{2080383104, 2080379008, 1879314434, 1879322626, 2080907268, 2080378881, 3439333377, 1006633088, 1879375880, 3255107592, 1879339016, 3255046152, 1107570696, 2080374912, 553930760, 3791978504, 2080374800, 1006641168, 1006637072, 2382368784, 234885136, 1308626960, 771760144, 771756048, 3992981520, 3992985616, 2919237648, 1006637184, 3456107552, 1308623904, 1845494816, 553938952, 3775139848, 33828872, 1627656200, 553922568, 3456108672, 4261414928, 2080440321, 3439394817}"
AT,3,4,922,492,17460.0,False,"{2080383104, 2080379008, 1879322626, 1879314434, 2080907268, 2080378881, 3439333377, 1006633088, 1879375880, 3255107592, 805634056, 2181365768, 1107570696, 3255046152, 1879339016, 2080440321, 2080374800, 1006641168, 1006637072, 2382368784, 234885136, 1308626960, 771760144, 771756048, 3992981520, 3992985616, 2080374912, 1006637184, 1308623904, 3456107552, 1845494816, 3791978504, 33837064, 553930760, 33845256, 553938952, 3775139848, 33828872, 2181312520, 1627656200, 553922568, 3456108672, 2919237648, 4261414928, 3439394817}"
AT,3,5,1519,744,47765.0,False,"{2080383104, 2080379008, 1879314434, 1879322626, 2080907268, 2080378881, 3439333377, 1006633088, 1879375880, 3255107592, 1879339016, 3255046152, 1107570696, 1879330824, 1107578888, 553930760, 2080374800, 1006641168, 1006637072, 2382368784, 234885136, 1308626960, 771760144, 771756048, 3992981520, 3992985616, 2080374912, 1006637184, 3456107552, 2080375840, 1308623904, 1845494816, 3791978504, 553938952, 33837064, 2181312520, 33845256, 2181320712, 3775139848, 1107562504, 33828872, 1627656200, 3456108672, 2919237648, 4261414928, 553922568, 2080440321, 3439394817}"
AT,3,6,2338,1062,115932.0,False,"{2080383104, 2080379008, 1879322626, 1879314434, 2080907268, 2080378881, 3439333377, 1006633088, 1879375880, 3255107592, 1107570696, 805634056, 2181365768, 3255046152, 1879339016, 2080440321, 2080374800, 1006641168, 1006637072, 2382368784, 234885136, 1308626960, 771760144, 771756048, 3992981520, 3992985616, 2080374912, 1006637184, 1308623904, 3456107552, 1845494816, 3791978504, 553938952, 33845256, 33837064, 2181312520, 553930760, 2181320712, 1644494856, 3775139848, 33828872, 3456108672, 1627656200, 2919237648, 4261414928, 553922568, 3439394817}"
AT,3,7,3415,1452,251323.0,False,"{2080383104, 2080379008, 1879322626, 1879314434, 2080907268, 2080378881, 3439333377, 1006633088, 1879375880, 3255107592, 3255046152, 1879330824, 1107570696, 2080374912, 3791978504, 2080440321, 2080374800, 1006641168, 1006637072, 2382368784, 234885136, 1308626960, 771760144, 771756048, 3992981520, 3992985616, 2919237648, 1006637184, 2080375840, 1308623904, 1845494816, 3456107552, 33837064, 33845256, 553938952, 2181312520, 553930760, 2181320712, 1107623944, 3775139848, 1107562504, 33828872, 3456108672, 1627656200, 4261414928, 553922568, 3439394817}"
AT,3,8,4786,1920,500470.0,False,"{2080383104, 2080379008, 1879322626, 1879314434, 2080907268, 2080378881, 3439333377, 1006633088, 1879375880, 3255107592, 1107570696, 805634056, 2181365768, 3255046152, 3255070728, 1107578888, 2080374800, 1006641168, 1006637072, 2382368784, 234885136, 1308626960, 1644494856, 771760144, 771756048, 3992981520, 2080374912, 1006637184, 1308623904, 3456107552, 2080375840, 1845494816, 1879339016, 3791978504, 33845256, 553938952, 553930760, 2181312520, 33837064, 2181320712, 2181328904, 1107623944, 3456108672, 3992985616, 3775139848, 1627656200, 2919237648, 4261414928, 33828872, 553922568, 2080440321, 3439394817}"
AT,3,9,5001,2022,676134.0,True,"{2080383104, 2080379008, 1879322626, 1879314434, 2080907268, 2080378881, 3439333377, 1006633088, 1879375880, 3255107592, 1879330824, 1107578888, 3255046152, 1107570696, 2080374912, 2080440321, 2080374800, 1006641168, 1006637072, 2382368784, 234885136, 1308626960, 1006637184, 2080375840, 1308623904, 3456107552, 1845494816, 553930760, 33837064, 2181320712, 3791978504, 2181312520, 33845256, 553938952, 3456108672, 3439394817}"
AT,3,10,5001,5001,9999,True,set()
AT,3,11,5001,5001,9999,True,set()
AT,3,12,5001,5001,9999,True,set()
AT,3,13,5001,5001,9999,True,set()
AT,3,14,5001,5001,9999,True,set()
AT,3,15,5001,5001,9999,True,set()
