Instance,N,K,Transitions,States,Time(ms),Failed,Features Vectors
DP,3,4,644,548,2640.0,False,"{130025473, 115345409, 62947842, 130023556, 130023940, 130023684, 130056706, 130025480, 130024456, 216007688, 130064386, 115343620, 214959112, 81789960, 62947458, 117465104, 117457936, 50349072, 236994832, 117457168, 102785040, 117466128, 102777104, 237003792, 102786064, 115343876, 130023488, 62922816, 130031680, 199237696, 216014912, 130024000, 81789504, 81789248, 62915136, 216006976, 249569344, 48242752, 216007232, 48235072}"
DP,3,5,728,632,3072.0,False,"{130025473, 115345409, 62947842, 130023556, 130023940, 130023684, 130056706, 130025480, 130024456, 216007688, 130064386, 115343620, 214959112, 81789960, 62947458, 117465104, 117457936, 50349072, 236994832, 117457168, 102785040, 117466128, 102777104, 237003792, 102786064, 115343876, 130023488, 62922816, 130031680, 199237696, 216014912, 130024000, 81789504, 81789248, 62915136, 216006976, 249569344, 48242752, 48235072, 216007232}"
DP,3,6,812,716,3427.0,False,"{130025473, 115345409, 62947842, 130023556, 130023940, 130023684, 130056706, 130025480, 130024456, 216007688, 130064386, 115343620, 214959112, 81789960, 62947458, 117465104, 117457936, 50349072, 236994832, 117457168, 102785040, 117466128, 102777104, 237003792, 102786064, 115343876, 130023488, 62922816, 130031680, 199237696, 216014912, 130024000, 81789504, 81789248, 62915136, 216006976, 249569344, 48242752, 48235072, 216007232}"
DP,3,7,896,800,3998.0,False,"{130025473, 115345409, 62947842, 130023556, 130023940, 130023684, 130056706, 130025480, 130024456, 216007688, 130064386, 115343620, 214959112, 81789960, 62947458, 117465104, 117457936, 50349072, 236994832, 117457168, 102785040, 117466128, 102777104, 237003792, 102786064, 115343876, 130023488, 62922816, 130031680, 199237696, 216014912, 130024000, 81789504, 81789248, 62915136, 216006976, 249569344, 48242752, 48235072, 216007232}"
DP,3,8,980,884,4350.0,False,"{130025473, 115345409, 62947842, 130023556, 130023940, 130023684, 130056706, 130025480, 130024456, 216007688, 130064386, 115343620, 214959112, 81789960, 62947458, 117465104, 117457936, 50349072, 236994832, 117457168, 102785040, 117466128, 102777104, 237003792, 102786064, 115343876, 130023488, 62922816, 130031680, 199237696, 216014912, 130024000, 81789504, 81789248, 62915136, 216006976, 249569344, 48242752, 48235072, 216007232}"
DP,3,9,1064,968,4682.0,False,"{130025473, 115345409, 62947842, 130023556, 130023940, 130023684, 130056706, 130025480, 130024456, 216007688, 130064386, 115343620, 81789960, 214959112, 62947458, 117465104, 117457936, 50349072, 236994832, 117457168, 102785040, 117466128, 102777104, 237003792, 102786064, 115343876, 130023488, 62922816, 130031680, 199237696, 216014912, 130024000, 81789504, 81789248, 62915136, 216006976, 249569344, 48242752, 48235072, 216007232}"
DP,3,10,1148,1052,4926.0,False,"{130025473, 115345409, 62947842, 130023556, 130023940, 130023684, 130056706, 130025480, 130024456, 216007688, 130064386, 115343620, 214959112, 81789960, 62947458, 117465104, 117457936, 50349072, 236994832, 117457168, 102785040, 117466128, 102777104, 237003792, 102786064, 115343876, 130023488, 62922816, 130031680, 199237696, 216014912, 130024000, 81789504, 81789248, 62915136, 216006976, 249569344, 48242752, 216007232, 48235072}"
DP,3,11,1232,1136,5220.0,False,"{130025473, 115345409, 62947842, 130023556, 130023940, 130023684, 130056706, 130025480, 130024456, 216007688, 130064386, 115343620, 81789960, 214959112, 62947458, 117465104, 117457936, 50349072, 236994832, 117457168, 102785040, 117466128, 237003792, 102786064, 102777104, 115343876, 130023488, 62922816, 130031680, 199237696, 216014912, 130024000, 81789504, 81789248, 62915136, 216006976, 249569344, 48242752, 48235072, 216007232}"
DP,3,12,1316,1220,5730.0,False,"{130025473, 115345409, 62947842, 130023556, 130023940, 130023684, 130056706, 130025480, 130024456, 216007688, 130064386, 115343620, 81789960, 214959112, 62947458, 117465104, 117457936, 50349072, 236994832, 117457168, 102785040, 117466128, 102777104, 237003792, 102786064, 115343876, 130023488, 62922816, 130031680, 199237696, 216014912, 130024000, 81789504, 81789248, 62915136, 216006976, 249569344, 48242752, 48235072, 216007232}"
DP,3,13,1400,1304,6257.0,False,"{130025473, 115345409, 62947842, 130023556, 130023940, 130023684, 130056706, 130025480, 130024456, 216007688, 130064386, 115343620, 81789960, 214959112, 62947458, 117465104, 117457936, 50349072, 236994832, 117457168, 102785040, 117466128, 102777104, 237003792, 102786064, 115343876, 130023488, 62922816, 130031680, 199237696, 216014912, 130024000, 81789504, 81789248, 62915136, 216006976, 249569344, 48242752, 48235072, 216007232}"
DP,3,14,1484,1388,6595.0,False,"{130025473, 115345409, 62947842, 130023556, 130023940, 130023684, 130056706, 130025480, 130024456, 216007688, 130064386, 115343620, 81789960, 214959112, 62947458, 117465104, 117457936, 50349072, 236994832, 117457168, 102785040, 117466128, 102777104, 237003792, 102786064, 115343876, 130023488, 62922816, 130031680, 199237696, 216014912, 130024000, 81789504, 81789248, 62915136, 216006976, 249569344, 48242752, 48235072, 216007232}"
DP,3,15,1568,1472,6852.0,False,"{130025473, 115345409, 62947842, 130023556, 130023940, 130023684, 130056706, 130025480, 130024456, 216007688, 130064386, 115343620, 81789960, 214959112, 62947458, 117465104, 117457936, 50349072, 236994832, 117457168, 102785040, 117466128, 102777104, 237003792, 102786064, 115343876, 130023488, 62922816, 130031680, 199237696, 216014912, 130024000, 81789504, 81789248, 62915136, 216006976, 249569344, 48242752, 48235072, 216007232}"
DP,4,2,2486,1933,40086.0,False,"{130025473, 115345409, 62947842, 130023556, 130023940, 130023684, 130056706, 130025480, 130024456, 214959112, 216007688, 130064386, 81789960, 62947458, 117465104, 50356240, 117457936, 50349072, 117466128, 236994832, 117457168, 50357264, 253772048, 50348304, 115343620, 115343876, 130023488, 62922816, 130031680, 199237696, 216014912, 130024000, 81789504, 81789248, 62915136, 62914624, 249569344, 48242752, 115351616, 216006976, 102785040, 216007232, 48235072, 266346560, 102777104, 169885968, 102786064, 237003792, 169894928}"
DP,4,3,2966,2413,46506.0,False,"{130025473, 115345409, 62947842, 130023556, 130023940, 130023684, 62947458, 130025480, 130024456, 214959112, 216007688, 81789960, 130064386, 117465104, 50356240, 117457936, 50349072, 236994832, 117457168, 50348304, 253772048, 102777104, 102785040, 130056706, 115343620, 115343876, 130023488, 62922816, 130031680, 199237696, 216014912, 130024000, 216007232, 81789504, 62914624, 81789248, 249569344, 48242752, 115351616, 216006976, 62915136, 48235072, 266346560, 169885968, 117466128, 50357264, 169894928, 102786064, 237003792}"
DP,4,4,3446,2893,47852.0,False,"{130025473, 115345409, 62947842, 130023556, 130023940, 130023684, 130056706, 130025480, 130024456, 214959112, 216007688, 130064386, 81789960, 62947458, 117465104, 50356240, 117457936, 50349072, 236994832, 117457168, 117466128, 50357264, 253772048, 169885968, 115343620, 115343876, 130023488, 62922816, 130031680, 199237696, 216014912, 130024000, 216007232, 81789504, 81789248, 62915136, 62914624, 249569344, 48242752, 216006976, 102785040, 48235072, 266346560, 102777104, 50348304, 115351616, 237003792, 169894928, 102786064}"
DP,4,5,3926,3373,55742.0,False,"{130025473, 115345409, 62947842, 130023556, 130023940, 130023684, 130056706, 130025480, 130024456, 214959112, 216007688, 130064386, 81789960, 62947458, 117465104, 50356240, 117457936, 50349072, 117466128, 236994832, 117457168, 50357264, 253772048, 50348304, 115343620, 115343876, 130023488, 62922816, 130031680, 199237696, 216014912, 130024000, 81789504, 81789248, 62915136, 62914624, 249569344, 48242752, 115351616, 216006976, 102785040, 216007232, 48235072, 266346560, 102777104, 169885968, 102786064, 237003792, 169894928}"
